L_bankssts	001_ctx-lh-bankssts.vtk
L_caudalanteriorcingulate	002_ctx-lh-caudalanteriorcingulate.vtk
L_caudalmiddlefrontal	003_ctx-lh-caudalmiddlefrontal.vtk
L_cuneus	004_ctx-lh-cuneus.vtk
L_entorhinal	005_ctx-lh-entorhinal.vtk
L_fusiform	006_ctx-lh-fusiform.vtk
L_inferiorparietal	007_ctx-lh-inferiorparietal.vtk
L_inferiortemporal	008_ctx-lh-inferiortemporal.vtk
L_isthmuscingulate	009_ctx-lh-isthmuscingulate.vtk
L_lateraloccipital	010_ctx-lh-lateraloccipital.vtk
L_lateralorbitofrontal	011_ctx-lh-lateralorbitofrontal.vtk
L_lingual	012_ctx-lh-lingual.vtk
L_medialorbitofrontal	013_ctx-lh-medialorbitofrontal.vtk
L_middletemporal	014_ctx-lh-middletemporal.vtk
L_parahippocampal	015_ctx-lh-parahippocampal.vtk
L_paracentral	016_ctx-lh-paracentral.vtk
L_parsopercularis	017_ctx-lh-parsopercularis.vtk
L_parsorbitalis	018_ctx-lh-parsorbitalis.vtk
L_parstriangularis	019_ctx-lh-parstriangularis.vtk
L_pericalcarine	020_ctx-lh-pericalcarine.vtk
L_postcentral	021_ctx-lh-postcentral.vtk
L_posteriorcingulate	022_ctx-lh-posteriorcingulate.vtk
L_precentral	023_ctx-lh-precentral.vtk
L_precuneus	024_ctx-lh-precuneus.vtk
L_rostralanteriorcingulate	025_ctx-lh-rostralanteriorcingulate.vtk
L_rostralmiddlefrontal	026_ctx-lh-rostralmiddlefrontal.vtk
L_superiorfrontal	027_ctx-lh-superiorfrontal.vtk
L_superiorparietal	028_ctx-lh-superiorparietal.vtk
L_superiortemporal	029_ctx-lh-superiortemporal.vtk
L_supramarginal	030_ctx-lh-supramarginal.vtk
L_frontalpole	031_ctx-lh-frontalpole.vtk
L_temporalpole	032_ctx-lh-temporalpole.vtk
L_transversetemporal	033_ctx-lh-transversetemporal.vtk
L_insula	034_ctx-lh-insula.vtk
R_bankssts	035_ctx-rh-bankssts.vtk
R_caudalanteriorcingulate	036_ctx-rh-caudalanteriorcingulate.vtk
R_caudalmiddlefrontal	037_ctx-rh-caudalmiddlefrontal.vtk
R_cuneus	038_ctx-rh-cuneus.vtk
R_entorhinal	039_ctx-rh-entorhinal.vtk
R_fusiform	040_ctx-rh-fusiform.vtk
R_inferiorparietal	041_ctx-rh-inferiorparietal.vtk
R_inferiortemporal	042_ctx-rh-inferiortemporal.vtk
R_isthmuscingulate	043_ctx-rh-isthmuscingulate.vtk
R_lateraloccipital	044_ctx-rh-lateraloccipital.vtk
R_lateralorbitofrontal	045_ctx-rh-lateralorbitofrontal.vtk
R_lingual	046_ctx-rh-lingual.vtk
R_medialorbitofrontal	047_ctx-rh-medialorbitofrontal.vtk
R_middletemporal	048_ctx-rh-middletemporal.vtk
R_parahippocampal	049_ctx-rh-parahippocampal.vtk
R_paracentral	050_ctx-rh-paracentral.vtk
R_parsopercularis	051_ctx-rh-parsopercularis.vtk
R_parsorbitalis	052_ctx-rh-parsorbitalis.vtk
R_parstriangularis	053_ctx-rh-parstriangularis.vtk
R_pericalcarine	054_ctx-rh-pericalcarine.vtk
R_postcentral	055_ctx-rh-postcentral.vtk
R_posteriorcingulate	056_ctx-rh-posteriorcingulate.vtk
R_precentral	057_ctx-rh-precentral.vtk
R_precuneus	058_ctx-rh-precuneus.vtk
R_rostralanteriorcingulate	059_ctx-rh-rostralanteriorcingulate.vtk
R_rostralmiddlefrontal	060_ctx-rh-rostralmiddlefrontal.vtk
R_superiorfrontal	061_ctx-rh-superiorfrontal.vtk
R_superiorparietal	062_ctx-rh-superiorparietal.vtk
R_superiortemporal	063_ctx-rh-superiortemporal.vtk
R_supramarginal	064_ctx-rh-supramarginal.vtk
R_frontalpole	065_ctx-rh-frontalpole.vtk
R_temporalpole	066_ctx-rh-temporalpole.vtk
R_transversetemporal	067_ctx-rh-transversetemporal.vtk
R_insula	068_ctx-rh-insula.vtk
CC_5	069_CC_Posterior.vtk
CC_4	070_CC_Mid_Posterior.vtk
CC_3	071_CC_Central.vtk
CC_2	072_CC_Mid_Anterior.vtk
CC_1	073_CC_Anterior.vtk
L_thal	074_Left-Thalamus.vtk
L_caud	075_Left-Caudate.vtk
L_put	076_Left-Putamen.vtk
L_pal	077_Left-Pallidum.vtk
L_hippo	078_Left-Hippocampus.vtk
L_amyg	079_Left-Amygdala.vtk
L_accumb	080_Left-Accumbens-area.vtk
R_thal	082_Right-Thalamus.vtk
R_caud	083_Right-Caudate.vtk
R_put	084_Right-Putamen.vtk
R_pal	085_Right-Pallidum.vtk
R_hippo	086_Right-Hippocampus.vtk
R_amyg	087_Right-Amygdala.vtk
R_accumb	088_Right-Accumbens-area.vtk
L_LatVent	Lt_LatVent.vtk
R_LatVent	Rt_LatVent.vtk
L_Cortex	Lt_ribbon.vtk
R_Cortex	Rt_ribbon.vtk
